,semaine,inc_grippe,inc_gastro,inc_varicelle,gaspillage_volume,reel_std_annee,prevision,effectif,greves,ferie,veille_ferie,retour_ferie,vacances,retour_vacances,veille_vacances,fete_musulmane,ramadan,fete_chretienne,fete_juive,porc,viande,poisson,bio,noel,frites,an_chinois,reel
semaine,1.0,-0.41706303384127036,-0.12494136754303299,-0.25989142724985914,-0.07744148425113652,-0.07529796088485483,-0.00616782763207871,0.16669000292858374,0.011122421428271662,-0.0033697099126119776,0.012661635484288523,-0.014065410565572317,-0.11612038223593119,-0.07992056530015063,0.04753476414697099,0.05667219098614579,-0.039965836371673745,-0.10283510625604107,0.11463223405009294,-0.008839142667610315,0.02772704822277708,0.010135367017663155,0.05350392556424984,0.1292174208555131,0.019585625405636922,-0.07449875241355453,0.02287704979838894
inc_grippe,-0.41706303384127036,1.0,0.4410321447606628,0.09948859187856926,0.09244012603846731,-0.15866169624213208,0.07727906684886547,0.015816263698374633,0.009533134413225492,-0.014258626310262852,-0.050272514637009755,-0.04956405063235196,0.006395295884072853,0.03876490128948289,0.051619111588327285,-0.04066429474288085,-0.11662852223635102,0.0795244668104108,-0.06154258463048571,0.007002270832578745,-0.028845911711453738,-0.011678807006451174,0.006424514030703754,0.028978658243834325,-0.026876178293562397,0.08277222166832848,0.04366719577359651
inc_gastro,-0.12494136754303299,0.4410321447606628,1.0,0.17025116699645992,0.1274613204956321,-0.35094969990142105,0.2752136971169875,0.4093628651956666,0.07513104641342547,-0.024841561055711833,-0.03435118908559646,-0.032213633078724324,-0.0038443635916637145,0.06042764069577917,0.022555788043844276,0.003284125520517296,-0.03920930205904073,0.0862440653279947,-0.045880434407858946,0.009235461321355191,0.04264266349569596,0.05550846741798581,0.16066238711213005,0.0667123501227495,0.014104381850163817,0.03074894573776689,0.2314208540632451
inc_varicelle,-0.25989142724985914,0.09948859187856926,0.17025116699645992,1.0,0.16210793730987427,-0.1590983282838082,0.1445304587015263,0.24607380561243888,0.19713546998189163,0.03758881206282937,-0.03462219150741456,0.05626798611593852,0.07041557785037304,0.002600200765775403,-0.0288298263484413,-0.038384631309629276,0.14120430362210268,0.04850144967857095,-0.08136862328280903,-0.059625550206821684,-0.020030883443742754,0.004766077453037836,0.10851654871875781,-0.002995674424972701,-0.03358484839152617,0.0048029409836370576,0.08572326963371509
gaspillage_volume,-0.07744148425113652,0.09244012603846731,0.1274613204956321,0.16210793730987427,1.0,-0.1157505594700659,0.2252556750493709,0.22253064088859817,0.3646773604474812,-0.02662083909203762,0.05680984100819199,-0.03328218038556307,-0.05296182632865986,-0.026945489770242696,0.002161383477236455,0.034105517746742316,0.07905643338316477,0.0356536357341031,0.010246343787033447,0.010796920130282047,-0.03210606594227483,-0.04201785372464129,0.01592019476337626,0.015708282620463337,-0.05567181968519663,0.0007319525081533468,-0.14759600029855025
reel_std_annee,-0.07529796088485483,-0.15866169624213208,-0.35094969990142105,-0.1590983282838082,-0.1157505594700659,1.0,-0.4175678226638772,-0.4981071735095036,0.04880688543455887,0.029106054473419816,-0.015907749168728794,-0.00787675977011751,-0.09512519963037644,0.0026218570213548367,0.007301367179103905,0.01684241067576934,-0.12092910981580057,-0.04041546747696748,0.008138016126629037,0.02848890352185535,0.03812249530840155,-0.014818882133195734,-0.1364506957477355,-0.011229615476773414,-0.00852270519498239,0.03959742224294879,-0.3803361117942114
prevision,-0.00616782763207871,0.07727906684886547,0.2752136971169875,0.1445304587015263,0.2252556750493709,-0.4175678226638772,1.0,0.5016917626033911,-0.20422806164409607,-0.15733761347903458,0.008451671469631095,-0.013402208531977412,-0.06644313607529029,0.005787650139941389,0.025993047077055947,-0.03498013076161252,0.08633361745652351,0.05123387372068361,0.01614026627658248,-0.021389460291889133,-0.04370992452909019,0.12388015850676531,0.1648147111606592,0.06229080045166657,0.03238019082805051,-0.0029669953552907374,0.9303820616515743
effectif,0.16669000292858374,0.015816263698374633,0.4093628651956666,0.24607380561243888,0.22253064088859817,-0.4981071735095036,0.5016917626033911,1.0,0.14402828728332187,-0.043489166221908966,-0.025374672510195168,-0.001086994895751396,0.028095174845622035,-0.016369412842578247,-0.005376199507832347,0.0340277229281126,0.1699133668640326,0.0028072978900299584,0.013904863934594754,-0.050661569653573504,0.03504365146412233,0.02581028678358949,0.284581154479023,0.004118395212918773,0.014762033822081926,-0.041968671147932284,0.4255562205072629
greves,0.011122421428271662,0.009533134413225492,0.07513104641342547,0.19713546998189163,0.3646773604474812,0.04880688543455887,-0.20422806164409607,0.14402828728332187,1.0,-0.009037640495994637,0.015072197093535989,-0.004330425859812263,-0.05263157894736848,-0.05180557439839491,-0.013763613571674407,0.03210814703340278,-0.03668063433879841,0.010671551802317497,0.019548872180451156,0.013733650820566544,-0.0007699912946467873,-0.04965105634299552,0.026442116740383343,0.010621463693967043,0.010809494254052948,-0.01809816593172045,-0.3445334865623357
ferie,-0.0033697099126119776,-0.014258626310262852,-0.024841561055711833,0.03758881206282937,-0.02662083909203762,0.029106054473419816,-0.15733761347903458,-0.043489166221908966,-0.009037640495994637,1.0,-0.0033913360463883775,-0.0042555410824429134,-0.004906147697825666,-0.004829150191815187,-0.004751041324939542,-0.0044262955878944564,-0.007039635615364324,-0.008359725610087635,-0.004906147697825652,-0.011574613821870897,-0.032953687614803204,-0.016757684636715155,-0.02307213938340251,-0.002389893952899819,-0.005276154673518956,-0.0016870532272947644,-0.14970285079878706
