service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
chouette:TimeTable:e4a44f7c-a02a-4015-8316-010ddacde79d:LOC,0,1,1,1,1,1,0,20260131,20260328
chouette:TimeTable:3487cd4f-91af-4919-88ba-407fa596e803:LOC,0,1,1,1,1,1,0,20260131,20260328
PROJET2025-LIsola-Dimanche-15-LIso,0,0,0,0,0,0,1,20260201,20260329
JANV2026-64-Semaine-38-64,1,1,1,1,1,0,0,20260128,20260327
JANV2026-05-Dimanche-34-05,0,0,0,0,0,0,1,20260201,20260329
chouette:TimeTable:4547a984-90ea-476a-86e1-1a879dbc5e51:LOC,1,0,0,0,0,0,0,20260202,20260329
JANV2026-B-Semaine-10-B,1,1,1,1,1,0,0,20260130,20260327
JANV2026-18-Samedi-39-18,0,0,0,0,0,1,0,20260131,20260328
JANV2026-30-Samedi-32-30,0,0,0,0,0,1,0,20260131,20260328
JANV2026-10-Dimanche-01-10,0,0,0,0,0,0,1,20260201,20260329
JANV2026-81-Dimanche-36-81,0,0,0,0,0,0,1,20260201,20260329
JANV2026-15-Samedi-40-15,0,0,0,0,0,1,0,20260131,20260328
PROJET2026-51-Samedi-10-51,0,0,0,0,0,1,0,20260131,20260328
JANV2026-L2-Semaine-10-L2,1,1,1,1,1,0,0,20260130,20260327
JANV2026-L3-Semaine-10-L3,1,1,1,1,1,0,0,20260130,20260327
chouette:TimeTable:f2772874-72e8-47a6-82b4-a5079931ef78:LOC,0,0,0,1,0,0,0,20260129,20260326
JANV2026-20-Samedi-37-20,0,0,0,0,0,1,0,20260131,20260328
JANV2026-20-Dimanche-41-20,0,0,0,0,0,0,1,20260201,20260329
JANV2026-05-Samedi-35-05,0,0,0,0,0,1,0,20260131,20260328
JANV2026-05-Mercredi-39-05,0,0,1,0,0,0,0,20260128,20260325
JANV2026-11-Samedi-37-11,0,0,0,0,0,1,0,20260131,20260328
JANV2026-L3-Samedi-04-L3,0,0,0,0,0,1,0,20260131,20260328
JANV2026-L3-Dimanche-04-L3,0,0,0,0,0,0,1,20260201,20260329
PVS2025-26-L3-Semaine-13-L3,1,1,1,1,1,0,0,20260220,20260227
PVS2025-26-L3-Semaine-12-L3,1,1,1,1,1,0,0,20260216,20260226
chouette:TimeTable:38c0dcf7-f9bd-4b9e-8e38-8eb98c527522:LOC,0,1,1,1,1,1,0,20260221,20260228
chouette:TimeTable:a7f0b5ef-59a0-4dfc-a65d-39182f391efa:LOC,0,1,1,1,1,1,0,20260217,20260227
PVS2025-26-L2-Semaine-12-L2,1,1,1,1,1,0,0,20260216,20260226
JANV2026-L2-Dimanche-04-L2,0,0,0,0,0,0,1,20260201,20260329
chouette:TimeTable:46cf78ea-ca4b-4e9e-a470-ef08433016eb:LOC,0,1,1,1,1,1,0,20260221,20260228
