route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
68,PROJET2024-68-Semaine-15-68,5203662-68_A_50_6803_08:45-PROJET2024-68-Semaine-15,,5203662-68_A_50_6803_08:45-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203663-68_A_50_6803_07:47-PROJET2024-68-Semaine-15,,5203663-68_A_50_6803_07:47-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203693-68_R_99_6802_09:32-PROJET2024-68-Semaine-15,,5203693-68_R_99_6802_09:32-PROJET2024-68-Semaine-15,1,680048,0,0
68,PROJET2024-68-Semaine-15-68,5203694-68_R_99_6803_10:13-PROJET2024-68-Semaine-15,,5203694-68_R_99_6803_10:13-PROJET2024-68-Semaine-15,1,680048,0,0
75,PROJET2024-75-Semaine-86-1101100-75,5422168-75_A_49_7501_13:25-PROJET2024-75-Semaine-86-1101100,,5422168-75_A_49_7501_13:25-PROJET2024-75-Semaine-86-1101100,0,750040,0,0
NVN1,PROJET2024-NVence1-Samedi-15-NVN1,5673426-NVN1_A_48_NVN102_11:45-PROJET2024-NVence1-Samedi-15,Camping,5673426-NVN1_A_48_NVN102_11:45-PROJET2024-NVence1-Samedi-15,0,NVN10001,0,0
68,PROJET2024-68-Semaine-15-68,5203664-68_A_50_6801_08:27-PROJET2024-68-Semaine-15,,5203664-68_A_50_6801_08:27-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203665-68_A_50_6803_06:46-PROJET2024-68-Semaine-15,,5203665-68_A_50_6803_06:46-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203689-68_R_99_6801_08:54-PROJET2024-68-Semaine-15,,5203689-68_R_99_6801_08:54-PROJET2024-68-Semaine-15,1,680048,0,0
68,PROJET2024-68-Semaine-15-68,5203677-68_A_50_6801_10:26-PROJET2024-68-Semaine-15,,5203677-68_A_50_6801_10:26-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203666-68_A_50_6802_06:00-PROJET2024-68-Semaine-15,,5203666-68_A_50_6802_06:00-PROJET2024-68-Semaine-15,0,680047,0,0
NVN1,PROJET2024-NVence1-Semaine-15-NVN1,5673245-NVN1_R_98_NVN101_16:55-PROJET2024-NVence1-Semaine-15,Le Taude,5673245-NVN1_R_98_NVN101_16:55-PROJET2024-NVence1-Semaine-15,1,NVN10002,0,0
NVN1,PROJET2024-NVence1-Semaine-15-NVN1,5673246-NVN1_A_48_NVN101_17:30-PROJET2024-NVence1-Semaine-15,Camping,5673246-NVN1_A_48_NVN101_17:30-PROJET2024-NVence1-Semaine-15,0,NVN10001,0,0
68,PROJET2024-68-Semaine-15-68,5203678-68_A_50_6802_11:04-PROJET2024-68-Semaine-15,,5203678-68_A_50_6802_11:04-PROJET2024-68-Semaine-15,0,680047,0,0
60,PROJET2025-60-Samedi-07-60,6154655-60_R_99_6002_19:10-PROJET2025-60-Samedi-07,,6154655-60_R_99_6002_19:10-PROJET2025-60-Samedi-07,1,600010,0,0
68,PROJET2024-68-Semaine-15-68,5203679-68_A_50_6801_11:24-PROJET2024-68-Semaine-15,,5203679-68_A_50_6801_11:24-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203680-68_A_50_6803_11:45-PROJET2024-68-Semaine-15,,5203680-68_A_50_6803_11:45-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203695-68_R_99_6803_09:13-PROJET2024-68-Semaine-15,,5203695-68_R_99_6803_09:13-PROJET2024-68-Semaine-15,1,680048,0,0
68,PROJET2024-68-Semaine-15-68,5203667-68_A_50_6801_07:26-PROJET2024-68-Semaine-15,,5203667-68_A_50_6801_07:26-PROJET2024-68-Semaine-15,0,680047,0,0
NVN1,PROJET2024-NVence1-Samedi-15-NVN1,5673415-NVN1_R_98_NVN102_09:15-PROJET2024-NVence1-Samedi-15,Le Taude,5673415-NVN1_R_98_NVN102_09:15-PROJET2024-NVence1-Samedi-15,1,NVN10002,0,0
NVN1,PROJET2024-NVence1-Samedi-15-NVN1,5673416-NVN1_A_48_NVN101_09:10-PROJET2024-NVence1-Samedi-15,Camping,5673416-NVN1_A_48_NVN101_09:10-PROJET2024-NVence1-Samedi-15,0,NVN10001,0,0
75,PROJET2024-75-Semaine-86-1101100-75,5422191-75_A_49_7502_16:40-PROJET2024-75-Semaine-86-1101100,,5422191-75_A_49_7502_16:40-PROJET2024-75-Semaine-86-1101100,0,750040,0,0
NVN1,PROJET2024-NVence1-Samedi-15-NVN1,5673427-NVN1_A_48_NVN101_12:15-PROJET2024-NVence1-Samedi-15,Camping,5673427-NVN1_A_48_NVN101_12:15-PROJET2024-NVence1-Samedi-15,0,NVN10001,0,0
68,PROJET2024-68-Semaine-15-68,5203685-68_A_50_6802_09:07-PROJET2024-68-Semaine-15,,5203685-68_A_50_6802_09:07-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203698-68_R_99_6801_10:50-PROJET2024-68-Semaine-15,,5203698-68_R_99_6801_10:50-PROJET2024-68-Semaine-15,1,680048,0,0
75,PROJET2024-75-Semaine-88-75,5422299-75_A_49_7502_16:40-PROJET2024-75-Semaine-88,,5422299-75_A_49_7502_16:40-PROJET2024-75-Semaine-88,0,750040,0,0
NVN1,PROJET2024-NVence1-Samedi-15-NVN1,5673428-NVN1_R_98_NVN102_12:15-PROJET2024-NVence1-Samedi-15,Le Taude,5673428-NVN1_R_98_NVN102_12:15-PROJET2024-NVence1-Samedi-15,1,NVN10002,0,0
68,PROJET2024-68-Semaine-15-68,5203696-68_R_99_6803_11:10-PROJET2024-68-Semaine-15,,5203696-68_R_99_6803_11:10-PROJET2024-68-Semaine-15,1,680048,0,0
68,PROJET2024-68-Semaine-15-68,5203681-68_A_50_6802_10:05-PROJET2024-68-Semaine-15,,5203681-68_A_50_6802_10:05-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203702-68_A_50_6803_13:46-PROJET2024-68-Semaine-15,,5203702-68_A_50_6803_13:46-PROJET2024-68-Semaine-15,0,680047,0,0
NVN1,PROJET2024-NVence1-Semaine-15-NVN1,5673222-NVN1_R_98_NVN102_16:20-PROJET2024-NVence1-Semaine-15,Le Taude,5673222-NVN1_R_98_NVN102_16:20-PROJET2024-NVence1-Semaine-15,1,NVN10002,0,0
68,PROJET2024-68-Semaine-15-68,5203699-68_R_99_6801_11:50-PROJET2024-68-Semaine-15,,5203699-68_R_99_6801_11:50-PROJET2024-68-Semaine-15,1,680048,0,0
68,PROJET2024-68-Semaine-15-68,5203682-68_A_50_6802_12:03-PROJET2024-68-Semaine-15,,5203682-68_A_50_6802_12:03-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203683-68_A_50_6801_12:25-PROJET2024-68-Semaine-15,,5203683-68_A_50_6801_12:25-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203703-68_A_50_6802_14:00-PROJET2024-68-Semaine-15,,5203703-68_A_50_6802_14:00-PROJET2024-68-Semaine-15,0,680047,0,0
68,PROJET2024-68-Semaine-15-68,5203659-68_A_50_6802_07:06-PROJET2024-68-Semaine-15,,5203659-68_A_50_6802_07:06-PROJET2024-68-Semaine-15,0,680047,0,0
NVN1,PROJET2024-NVence1-Samedi-15-NVN1,5673414-NVN1_R_98_NVN101_08:40-PROJET2024-NVence1-Samedi-15,Le Taude,5673414-NVN1_R_98_NVN101_08:40-PROJET2024-NVence1-Samedi-15,1,NVN10002,0,0
