order_id,order_date,customer_id,product_id,quantity,unit_price,total_amount,currency
1,2023-03-07,1231,2008,2,415.16,830.32,EUR
2,2024-07-18,1347,2034,7,368.14,2576.98,EUR
3,2024-04-22,1860,2071,1,433.46,433.46,USD
4,2023-11-17,1102,2041,7,474.14,3318.98,EUR
5,2023-11-13,1108,2016,1,284.27,284.27,GBP
6,2024-09-18,1301,2097,3,373.86,1121.58,EUR
7,2023-03-04,1602,2019,3,247.62,742.86,EUR
8,2024-05-24,1805,2008,2,393.98,787.96,USD
9,2023-05-28,1562,2037,5,270.68,1353.4,EUR
10,2023-03-10,1492,2011,2,369.48,738.96,GBP
11,2024-01-20,1870,2058,2,141.14,282.28,EUR
12,2024-12-13,1171,2043,4,345.02,1380.08,EUR
13,2024-06-21,1900,2091,5,291.38,1456.9,EUR
14,2024-07-09,1312,2016,6,128.67,772.02,EUR
15,2024-06-07,1275,2026,1,344.41,344.41,EUR
16,2024-07-27,1952,2067,2,188.29,376.58,EUR
17,2024-01-10,1645,2069,1,316.36,316.36,USD
18,2023-04-04,1431,2035,8,330.84,2646.72,EUR
19,2024-09-05,1329,2091,6,337.25,2023.5,EUR
20,2023-11-25,1441,2083,3,343.38,1030.14,EUR
21,2024-01-01,1790,2060,5,211.59,1057.95,EUR
22,2023-09-28,1152,2074,8,314.22,2513.76,GBP
23,2023-05-14,1174,2053,7,453.84,3176.88,GBP
24,2024-11-07,1304,2046,9,38.72,348.48,EUR
25,2024-07-24,1481,2054,3,392.68,1178.04,EUR
26,2024-04-15,1813,2083,2,68.74,137.48,EUR
27,2023-10-21,1210,2001,7,235.46,1648.22,USD
28,2024-08-23,1785,2009,9,86.22,775.98,EUR
29,2024-02-03,1906,2046,2,392.3,784.6,EUR
30,2023-11-20,1435,2057,7,23.4,163.8,EUR
31,2023-11-25,1960,2017,6,352.06,2112.36,EUR
32,2023-06-15,1892,2059,8,203.75,1630.0,EUR
33,2023-03-09,1796,2002,2,136.2,272.4,EUR
