service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JANV2026-10-Semaine-01-10,1,1,1,1,1,0,0,20260107,20260306
JANV2026-17-L-Ma-J-V-35-17,1,1,0,1,1,0,0,20260107,20260306
JANV2026-L3-Semaine-09-L3,1,1,1,1,1,0,0,20260107,20260305
PROJET2025-22-Semaine-22-1101100-22,1,1,0,1,1,0,0,20260107,20260306
PROJET2025-19-Semaine-23-1101100-19,1,1,0,1,1,0,0,20260107,20260306
PROJET2026-80-Semaine-95-80,1,1,1,1,1,0,0,20260107,20260306
PROJET2025-63-Semaine-65-1101100-63,1,1,0,1,1,0,0,20260107,20260306
JANV2026-L2-Semaine-09-L2,1,1,1,1,1,0,0,20260107,20260305
PROJET2024-NVence2-Semaine-12-NVN2,1,1,1,1,1,0,0,20260107,20260306
JANV2026-B-Semaine-03-B,1,1,1,1,1,0,0,20260107,20260305
JANV2026-81-Semaine-42-81,1,1,1,1,1,0,0,20260107,20260306
PROJETS-NV30-Semaine-01-NV30,1,1,1,1,1,0,0,20260107,20260306
JANV2026-33-L-Ma-J-V-37-33,1,1,0,1,1,0,0,20260107,20260306
PROJET2024-ISO-Semaine-02-1111000-ISO,1,1,1,1,0,0,0,20260107,20260305
JANV2026-L1-Semaine-07-L1,1,1,1,1,1,0,0,20260107,20260305
PROJET2025-61-Semaine-29-61,1,1,1,1,1,0,0,20260107,20260306
JANV2026-15-Semaine-42-15,1,1,1,1,1,0,0,20260107,20260306
PROJET2025-09-Semaine-35-09,1,1,1,1,1,0,0,20260107,20260306
PROJET2024-68-Semaine-15-68,1,1,1,1,1,0,0,20260107,20260306
JANV2026-05-L-Ma-J-V-39-05,1,1,0,1,1,0,0,20260107,20260306
JANV2026-12-Semaine-06-12,1,1,1,1,1,0,0,20260107,20260306
JANV2026-16-Semaine-36-16,1,1,1,1,1,0,0,20260107,20260306
PROJET2024-NVence1-Semaine-15-NVN1,1,1,1,1,1,0,0,20260107,20260306
PROJET2025-NIsola-Semaine-26-NIso,1,1,1,1,1,0,0,20260107,20260227
JANV2026-37-Semaine-37-37,1,1,1,1,1,0,0,20260107,20260306
PROJET2025-54-Semaine-21-54,1,1,1,1,1,0,0,20260107,20260306
JANV2026-06-Semaine-01-06,1,1,1,1,1,0,0,20260107,20260306
JANV2026-57-Semaine-08-57,1,1,1,1,1,0,0,20260107,20260306
PROJET2025-44-Semaine-89-44,1,1,1,1,1,0,0,20260107,20260306
JANV2026-98-Semaine-08-98,1,1,1,1,1,0,0,20260107,20260306
PROJET2025-60-Semaine-08-60,1,1,1,1,1,0,0,20260107,20260306
PROJET2026-84-Semaine-05-84,1,1,1,1,1,0,0,20260107,20260306
JANV2026-20-Semaine-44-20,1,1,1,1,1,0,0,20260107,20260306
JANV2026-32-Semaine-34-32,1,1,1,1,1,0,0,20260107,20260306
JANV2026-38-Semaine-43-38,1,1,1,1,1,0,0,20260107,20260306
JANV2026-70-Semaine-35-70,1,1,1,1,1,0,0,20260107,20260306
PROJET2024-72-Semaine-74-72,1,1,1,1,1,0,0,20260107,20260306
