service_id,date,exception_type
JANV2026-L3-Semaine-09-L3,20260109,2
JANV2026-L3-Semaine-09-L3,20260116,2
JANV2026-L3-Semaine-09-L3,20260123,2
JANV2026-L3-Semaine-09-L3,20260130,2
JANV2026-L3-Semaine-09-L3,20260206,2
JANV2026-L3-Semaine-09-L3,20260213,2
JANV2026-L3-Semaine-09-L3,20260216,2
JANV2026-L3-Semaine-09-L3,20260217,2
JANV2026-L3-Semaine-09-L3,20260218,2
JANV2026-L3-Semaine-09-L3,20260219,2
JANV2026-L3-Semaine-09-L3,20260220,2
JANV2026-L3-Semaine-09-L3,20260223,2
JANV2026-L3-Semaine-09-L3,20260224,2
JANV2026-L3-Semaine-09-L3,20260225,2
JANV2026-L3-Semaine-09-L3,20260226,2
JANV2026-L3-Semaine-09-L3,20260227,2
PROJET2025-22-Semaine-22-1101100-22,20260216,2
PROJET2025-22-Semaine-22-1101100-22,20260217,2
PROJET2025-22-Semaine-22-1101100-22,20260219,2
PROJET2025-22-Semaine-22-1101100-22,20260220,2
PROJET2025-22-Semaine-22-1101100-22,20260223,2
PROJET2025-22-Semaine-22-1101100-22,20260224,2
PROJET2025-22-Semaine-22-1101100-22,20260226,2
PROJET2025-22-Semaine-22-1101100-22,20260227,2
PROJET2025-19-Semaine-23-1101100-19,20260216,2
PROJET2025-19-Semaine-23-1101100-19,20260217,2
PROJET2025-19-Semaine-23-1101100-19,20260219,2
PROJET2025-19-Semaine-23-1101100-19,20260220,2
PROJET2025-19-Semaine-23-1101100-19,20260223,2
PROJET2025-19-Semaine-23-1101100-19,20260224,2
PROJET2025-19-Semaine-23-1101100-19,20260226,2
PROJET2025-19-Semaine-23-1101100-19,20260227,2
PROJET2026-80-Semaine-95-80,20260216,2
PROJET2026-80-Semaine-95-80,20260217,2
PROJET2026-80-Semaine-95-80,20260218,2
PROJET2026-80-Semaine-95-80,20260219,2
PROJET2026-80-Semaine-95-80,20260220,2
PROJET2026-80-Semaine-95-80,20260223,2
PROJET2026-80-Semaine-95-80,20260224,2
PROJET2026-80-Semaine-95-80,20260225,2
PROJET2026-80-Semaine-95-80,20260226,2
PROJET2026-80-Semaine-95-80,20260227,2
PROJET2025-63-Semaine-65-1101100-63,20260216,2
